127.0.0.1 - - [27/May/2023:13:21:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/May/2023:13:34:14 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:34:14 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:34:30 +0530] "GET /student-app/login?email=soumyasoumya85%40gmail.com&password=soumya HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:11 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:49 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:49 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:49 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:50 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:50 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:50 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:50 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:50 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:50 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:51 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:59 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:59 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:59 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:59 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:35:59 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:36:06 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:36:19 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:36:19 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:36:19 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:36:19 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:36:19 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [27/May/2023:13:44:11 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [27/May/2023:13:44:11 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [27/May/2023:13:44:11 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [27/May/2023:13:44:11 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [27/May/2023:13:44:11 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [27/May/2023:13:44:16 +0530] "GET /student-app/add.html HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [27/May/2023:13:44:29 +0530] "GET /student-app/student?roll=101&name=Soumya+Ranjan+Mohanty&age=23&gender=male HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [27/May/2023:13:46:53 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:46:53 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:46:53 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:46:54 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:46:54 +0530] "GET /student-app/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:47:02 +0530] "GET /student-app/login?email=soumyasoumya835%40gmail.com&password=soumya HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [27/May/2023:13:47:04 +0530] "GET /student-app/add.html HTTP/1.1" 200 2750
0:0:0:0:0:0:0:1 - - [27/May/2023:13:47:15 +0530] "GET /student-app/student?roll=101&name=Soumya+Ranjan+Mohanty&age=23&gender=male HTTP/1.1" 500 3407
0:0:0:0:0:0:0:1 - - [27/May/2023:13:48:22 +0530] "GET /student-app/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:48:23 +0530] "GET /student-app/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:48:23 +0530] "GET /student-app/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:48:23 +0530] "GET /student-app/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:48:33 +0530] "GET /student-app/student?roll=101&name=Soumya+Ranjan+Mohanty&age=23&gender=male HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [27/May/2023:13:49:58 +0530] "GET /student-app/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:49:58 +0530] "GET /student-app/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:49:58 +0530] "GET /student-app/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:49:58 +0530] "GET /student-app/add.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2023:13:50:09 +0530] "GET /student-app/student?roll=101&name=Soumya+Ranjan+Mohanty&age=23&gender=male HTTP/1.1" 200 1234
